event_id,name,location,start_time,end_time,curr_capacity,max_capacity,owner_id,category,description,active
42029fe1-7da0-4852-b4d7-f038837bf278,hello,North Gabriel,2023-09-25 11:17:31,2024-12-04 15:37:53,39,100,15d34a11-88a6-4b52-91b7-281f921e865e,present,hello,True
eacaf06c-3a4c-4e95-adbd-4775ae1e7584,hello,Amyfort,2025-05-04 19:37:29,2024-12-13 21:56:58,66,100,573b5d11-5462-4a9f-bc20-10afaf0cf00b,protect,hello,True
e3b6433d-8576-407e-b68b-2310f1dc01fb,hello,Lake Adamburgh,2023-11-15 14:21:01,2024-06-06 03:35:33,54,100,cee29802-8eef-4d9d-9951-5c0e058ab144,key,hello,True
4267ebf4-b7f8-433f-abf5-e4ef322e16e3,hello,Port Kaitlinside,2023-10-24 20:14:49,2025-03-22 10:29:01,81,100,b2864236-1f67-4b45-9346-43a8428de3e8,decade,hello,True
501f10be-0475-4d8e-b28d-702470a30d1c,hello,Holtfort,2025-05-21 22:07:12,2024-08-07 12:59:59,56,100,c35e43c0-ba2f-4a1a-b597-3fdaf2e3c5b6,before,hello,True
0986f086-6f6e-4e77-9027-715a47d58469,hello,Lake James,2024-06-13 15:29:58,2024-01-14 20:22:41,77,100,20794174-4b58-4cb1-9332-5bc2b9d010ff,exist,hello,True
4d7cfb9a-5c58-40d7-b084-504e72ff1bc0,hello,South Sean,2024-05-13 13:43:51,2024-02-22 19:24:07,51,100,af2c03df-892b-4893-9e37-fa67fe4fee02,arrive,hello,True
02ddddd0-29dd-43a4-b8e1-2c5c06747f04,hello,Ronaldshire,2024-10-24 11:35:20,2024-07-18 15:35:01,23,100,a95b3e10-96c0-4867-bd0c-a7e3ca32f681,eat,hello,True
bc76765a-60d2-46a4-ade8-125f2aad3cf6,hello,East Richardside,2024-03-17 23:46:52,2023-08-18 12:09:52,99,100,d265759e-5ccc-442a-a4a1-e7cd22a12cac,public,hello,True
3e3a90ce-5a6b-4e43-841d-758990c459ca,hello,Austinbury,2023-08-06 21:09:02,2025-01-21 23:22:14,31,100,bc67af79-38da-44eb-b176-7ff665975a58,president,hello,True
2f7a6b3f-90f1-42f2-ab87-070ee1c397df,hello,Beckyborough,2024-06-02 15:49:59,2024-12-01 06:08:47,73,100,15d34a11-88a6-4b52-91b7-281f921e865e,when,hello,True
64916623-8de9-431e-80fd-05462274a8ce,hello,Oscarchester,2023-12-27 06:45:08,2023-12-28 17:13:43,46,100,6d9d94d0-6417-4e31-a978-e90ef5a2c8fb,authority,hello,True
aa33fb08-79fd-4e09-86ee-29984fcf7cf0,hello,Martinezchester,2023-09-28 00:56:20,2024-04-18 22:09:16,7,100,7c4aadab-479d-432f-8fb6-410b920d17da,economic,hello,True
528b4083-aba8-4027-beb5-c0f7a3bb787a,hello,West Andrew,2024-01-21 17:47:21,2023-08-14 15:00:17,32,100,6d9d94d0-6417-4e31-a978-e90ef5a2c8fb,nothing,hello,True
9df792cd-1dda-4162-aab3-87548e7d9c04,hello,South Amber,2023-11-14 12:51:48,2024-08-09 06:41:03,21,100,2f09adad-fc20-44c4-872b-aa1f424f8526,environmental,hello,True
a2a6317a-b642-43ad-9676-3317d156123f,hello,Andrewhaven,2024-10-31 09:02:18,2024-01-01 10:41:57,43,100,382a2a9b-578c-47e7-8242-9c8e643f33b8,their,hello,True
25b4b2ac-cb88-496c-a019-de637418da14,hello,Moralesmouth,2024-04-18 08:49:16,2023-07-19 00:03:02,31,100,db2d7c9b-890f-4642-853a-4554a971799c,end,hello,True
fa6815b6-6156-459a-9fb7-5a65e3a3fc87,hello,North Alexis,2025-05-12 19:44:46,2025-04-02 06:30:31,73,100,fe395f59-10e3-4464-a210-aebc17f09c4d,look,hello,True
b19d72e0-31eb-43e2-aafb-d64b269271f7,hello,New Victor,2025-04-06 05:29:13,2023-10-20 04:24:38,16,100,e61981c5-ad3c-4679-a8c6-fd9cb547fc2a,produce,hello,True
e0d8f2c3-2505-4830-847e-fa255b0d69d0,hello,Amandahaven,2024-02-15 18:18:53,2024-11-13 21:11:30,64,100,12c45997-1ec1-4e32-8205-891806f012f4,mean,hello,True
ad076e81-3e45-4c49-b238-f43c09b25991,hello,Tuckermouth,2024-05-05 12:09:50,2024-02-11 06:51:13,44,100,15d34a11-88a6-4b52-91b7-281f921e865e,write,hello,True
e2e95001-6ab7-486f-b67d-91b6eae48b45,hello,Robertfurt,2025-03-24 11:05:53,2024-09-08 19:56:56,42,100,fe395f59-10e3-4464-a210-aebc17f09c4d,begin,hello,True
29e60db0-eb26-430e-bfa4-8d3393c75e44,hello,North Russell,2023-08-21 02:48:00,2023-08-07 20:17:58,66,100,e367d2e4-cbb6-4eda-a22b-c5dc3ca44761,measure,hello,True
8148cd88-44d3-4c88-9d02-01690ec8bb78,hello,Lake Amy,2023-11-21 22:41:57,2023-12-27 18:12:37,69,100,67c8bccd-2df1-49b7-b3c7-062b5584cc21,Mr,hello,True
31f833e7-c277-4858-8050-4539bd64c979,hello,East Lucas,2025-06-04 14:26:22,2023-10-09 00:10:13,5,100,1f15f8cf-96b9-42b9-82fb-f370015017bb,wind,hello,True
525462d1-d324-4802-8a5e-dbcfb99ac84c,hello,West Shawn,2025-01-04 05:07:18,2024-09-09 19:24:07,4,100,791dd0ce-1c39-44db-91c8-80ee615be8ef,beat,hello,True
